tweets,target
"If the Kerala government places an order, the CBI will not be able to come, but if they are interested, they will take it
Do you know if there is a High Court order?",1
"Thank God they have communicated to local CBI office through a postcard. Parents of Sidharth can have a sigh of relief, CM and DGP have not sent the case bundle to Joe Biden or Shi of China. Sincere advice to the grieving parents with this deliberate and willful negligence the case has already ensured it's place in file no:13 Then why waste time and energy.",1
Good news for BJP in Kerala to open an account in Kerala,1
Ban SFI and Communism in India! India will be Economic Superpower under Modi.,1
Thiruvananthapuram New Strong Leader Rajeev Sir,1
"Kerala has achieved superiority over developed countries in dealing with Covid. It was noticed and referred to all over the world. Among the special mentions of international agencies.
But, as usual, only the people of Kerala have a misfortune like no other place in the world. A powerful faction in its own country that is capable of defeating its own people! It was by directly defeating that class that Kerala took a step which is seen today and which people like Amartyasen assess to be on par with the developed countries.",1
Both left and right want Muslim votes and compete for them,1
The idiots in the cow belt in the north are from the hand of BJP.,0
There are no other births in this world as wretched as Sanghi's.,1
"When they run in fear, they intensify their violence
When the aggressors retaliate, they also retaliate
Wake up you stupid people
Fight for justice
A British car has done even bigger
We fought
Defend and fight back against the monsters",0
"The PPE kit is just an allegation made by Congress+BJP seeing the popularity of Shailaja. People ran for their lives and saw nothing of him for a help. At that time only the teacher, the team and then the people. I am not a deficit, but in the case of Shailaja teacher, the teacher is right.",1
"Alappuzha-Changanassery road was constructed in 1955 during the time of Thiru-Kochi Rajapramukhan Sri Chithira Tirunal Balaramavarma. Pattam Thanupillai was the Chief Minister of Thiru-Kochi. The progress made by connecting the then major port town of Alappuzha and Central Kerala's main trading center Changanassery through Kuttanad by land was studied (1954 Kuttanad Development Scheme [Kuttanad Development Scheme] Study Report). All the people of Kuttanad supported the new road initiative. Many people lost their places due to this but generally no one objected to it. AC, the first road in Kuttanad. The initial work on the road started from Kaitavana in Alappuzha. Today this area is commonly known as Kalarkot.

The elevation of Kuttanad ranges from 2.2 m below sea level to 0.6 m above sea level. Road construction in Kuttanad below sea level was difficult. After taking the swampy soil (mud) of Kuttanad from one side and cutting the road parallel to the other side, the work started targeting Changanassery. The road work started from Kaitavana in Alappuzha and reached the eastern side of Mampuzha without any major problems. If you take the road ahead in this direction, instead of Changanassery, Muthoot MC near Thiruvalla. That's when you realize that it will be on the road. Therefore, the direction of the road from Mampuzhakari was changed slightly to the north and M.C. at Perunna. Also brought on the road. Due to this, A.C. This is the main bend in the road (core curve). A new river was formed on the south side parallel to the road made by taking mud from one side and putting it on the other side. It was named Puthanaar, which means new. A.C. The road runs parallel to the Puthanar road from Manakkachira in Changanassery to Kaitavana in Alappuzha.

In 1957, eleven bridges were completed by A.C. The road was opened to the public. It was one of the first roads in New Kerala. But even then the work of three big bridges could not be completed.[3] Many years later, the trench bridge over Manimalayat was completed. Again many years later, during the Chief Ministership of EK Nayanar, the Nedumudi and Pallathurthi bridges over the Pampanadi were completed and opened to the public on the same day. Alappuzha - Changanassery road was the first road to be built bisecting Kuttanadu. A.C. The transport revolution initiated by the advent of the road helped both Kuttanad and Alappuzha to progress.[4]",1
"Like every other case, BJP will make a deal",0
"@muraleedharanmv8130
It's funny that a BJP supporter is preaching about religious harmony. You say, what kind of work related to financial statement closure should be done on Easter day or can be done on the same day? Even if that's the argument, they could let people in the financial department work, but they canceled leave on Easter day, how could you think it's reasonable. My question is relevant: if they were so concerned about the financial year ending, why didn't they? Do they do the same on Holi? Also, the new financial year isn't ending just for Manipur but for the whole of India, mate. I still wonder what kind of activities they are so eager to complete on that particular day.",1
Hey ..we haven't eaten any bonda..my hand is pure..my fold is not thick..,1
"Enlightened ones, at least become common people. . . .",0
All for the poor and Dalits,0
"Sir can u do a video on KSEB solar scheme and Central Govt solar scheme.
Read somewhere that central Govt scheme is half the price.
Please help with a comparison video.",0
"Thank you very much Marunadan for the awareness â¤
There was confusion as to which one to want
Thank you",1
Lakhs of people are ready to boycott the vote,1
530/2019 save police rank list,0
It is not a delusion that the BJP-ruled central government is treating the country's Muslim community as second class by destroying and seizing their places of worship in many parts of the country.,1
Go to supreme court mr why press conference if u are right court is there we hv a great chief justice,1
Save police rank list 530/2019,0
The right person said that the caa issue is misunderstood to get votes.,1
"Most ordinary Congressmen do not agree with your stand on the Citizenship Act, Satisha. If you want votes, support the Citizenship Act in the name of humanity... then your party will remain.. you will not have the votes of the League or Hamas in the Congress. Congress will melt like ice in the sun.",1
